matnumber,matlab
19-4283,5.97154187377297
19-4820,5.07274708545384
19-1206,4.44325745530745
19-5895,4.56453608723631
19-2262,4.18132620545557
19-3846,6
19-5830,5.70093342794021
19-2518,5.10929833902267
19-2905,5.67758151972217
19-6171,4.87955800674129
19-2653,4.31790052787556
19-8243,6
19-9826,5.40196613879904
19-7302,5.12517864673401
19-3439,4.69649907767041
19-5841,4.90696370293087
19-1078,4.13514716614635
19-9063,4.98423067937566
19-8796,4.9824897853691
19-8177,4.55015591258138
19-2608,4.75851447582144
19-5943,6
19-0226,4.96396656064658
19-4253,4.04103560354886
19-3127,4.57285471329086
19-1615,5.221020560952
19-1788,5.51323022043821
19-4229,6
19-0943,5.7668548824206
19-5985,5.70603894514293
19-4709,6
19-6959,5.27433084083914
19-6999,5.2689208268988
19-6385,4.84170225034641
19-0337,5.03022028151912
19-0688,6
19-3196,5.53219915612049
19-5309,4.65946940834193
19-6544,5.48277949463252
19-4076,4.44668870929379
19-8199,4.18880123025293
19-7183,5.89929474836792
19-9686,5.37696562549398
19-5313,5.07544477437248
19-3252,5.22957085303477
19-1057,5.4606530322932
19-6109,4.22776691723768
19-7788,4.79646814091809
19-4235,4.35353409351443
19-0909,4.52409920323308
19-2665,4.10261409074652
19-1537,6
19-2810,4.93951627249435
19-4401,4.63704997463672
19-5271,4.83393959716363
19-4574,5.17301332402755
19-8753,5.23711974222056
19-5181,6
19-9436,5.96140403098049
19-6377,5.06541449760165
19-9576,6
19-2407,5.18907759922336
19-6761,4.80420896439249
19-2891,4.87999104951897
19-6718,5.14345870966138
19-6951,6
19-0680,5.62392467240757
19-2548,4.39726126944655
19-2241,4.79241997081257
19-6678,4.87197853924598
19-8444,4.40910201945383
19-3445,6
19-7805,5.95905847694338
19-6753,5.83981745674104
19-0068,4.62835234453414
19-6022,5.05094283683064
19-3868,4.16792448733846
19-9159,4.46783451483783
19-0012,4.27447333699657
19-4625,4.91257677950223
19-4244,4.82769558866812
19-4609,6
19-7701,5.20606623711981
19-3225,4.39200578738969
19-7847,4.87277303685086
19-4714,5.71813372779832
19-0358,5.78093071264082
19-1759,6
19-7217,5.99860567516893
19-4735,4.38996849504489
19-1528,5.03706146641434
